freq (GHz),abs(Gamma),uabs(Gamma) (var)
2.0,0.24811148423061186,0.001766655442200244
4.0,0.2480195794157675,0.0017749749133652401
6.0,0.2479704395156725,0.0017785522263936448
8.0,0.24793280917183305,0.001780573992220859
10.0,0.24789624640609426,0.0017818946428811468
12.0,0.24785690542086275,0.001782834903566101
14.0,0.2478136817881179,0.0017835368173084267
16.0,0.24776658070666957,0.0017840832408174707
18.0,0.247716013932994,0.0017845359108808589
20.0,0.24766248085416,0.001784944056543193
22.0,0.24760642748230152,0.0017853446273324472
24.0,0.24754819501256925,0.0017857620013594466
26.0,0.2474880159442319,0.0017862089010416786
28.0,0.24742520340209365,0.0017872452964990777
30.0,0.2473561499036903,0.001790011134361532
32.0,0.24728417150734514,0.0017907947104495127
34.0,0.24720982538048886,0.001791210997921431
36.0,0.2471353942440349,0.0017909121743678639
38.0,0.2470577817627898,0.0017918311976443425
40.0,0.24698006648919155,0.0017913514751951318
42.0,0.24689992565430813,0.0017912326455299609
44.0,0.24681812662494568,0.0017911064094898123
46.0,0.24673816840382598,0.0017908710801770983
48.0,0.2466559933025427,0.0017904854443915991
50.0,0.24657322877778276,0.0017901496643062025
52.0,0.24648919153753268,0.0017900123030379928
54.0,0.24640403057435775,0.0017897358621730012
56.0,0.24631948098492196,0.0017896487279049067
58.0,0.24623422757637967,0.0017895664786537098
60.0,0.246147209598742,0.0017893252019741516
62.0,0.24605953589790477,0.001789110557700945
64.0,0.2459711740182166,0.0017889183634064504
66.0,0.24588209475572534,0.0017887447686757482
68.0,0.2457919853676039,0.001788780549019197
70.0,0.2457012286451831,0.0017885992585599882
72.0,0.2456097077390229,0.0017884304528761092
74.0,0.2455174052830979,0.0017882712764417715
76.0,0.24542416201225745,0.001788189513028846
78.0,0.24532991295546067,0.0017880313064115548
80.0,0.2452349064713969,0.001787876680538323
82.0,0.24513921452965126,0.0017877654354154526
84.0,0.24504267020051387,0.001787652933592366
86.0,0.24494526512682582,0.001787482835117034
88.0,0.24484707389316523,0.0017873113477195445
90.0,0.2447479735793609,0.0017871739255848596
92.0,0.24464805841971143,0.0017869899293788565
94.0,0.24454729783449425,0.0017868299713384452
96.0,0.2444456809597786,0.0017866579993946583
98.0,0.2443433674083814,0.0017864683351305924
100.0,0.2442403519590845,0.0017862495897608844
102.0,0.24413661109811557,0.0017860243095555164
104.0,0.24403215173013065,0.001785791800605552
106.0,0.24392698238860883,0.0017855514563324339
108.0,0.24382111306829693,0.0017853027493021873
110.0,0.24371455507881878,0.0017850452246064364
112.0,0.24360732090094472,0.0017847784928489818
114.0,0.2434994567961672,0.0017845106162150404
116.0,0.24339093877340176,0.0017842227480411436
118.0,0.24328178213389068,0.001783925070069459
120.0,0.24317200365465338,0.0017836173695099551
122.0,0.24306162061728057,0.0017832994732441573
124.0,0.24295065073424238,0.0017829712454188102
126.0,0.24283911208346093,0.0017826325820110601
128.0,0.2427270377078215,0.0017822877773327455
130.0,0.2426144291725596,0.0017819271239815917
132.0,0.24250130506834247,0.0017815560125698407
134.0,0.2423876847307362,0.001781174424384463
136.0,0.24227359246981506,0.001780785601089586
138.0,0.24215904626740847,0.001780382423322842
140.0,0.2420440602470688,0.0017799689143135036
142.0,0.24192865400815147,0.0017795451129750484
144.0,0.24181284704522618,0.001779111071948647
146.0,0.24169665873703533,0.001778666855675618
148.0,0.24158010832330531,0.0017782125397302951
150.0,0.24146321488941333,0.0017777482090805769
