freq (GHz),abs(Gamma),uabs(Gamma) (var)
2.0,0.24811148423061186,0.00033754777286891464
4.0,0.2480195794157675,0.00034105705110207155
6.0,0.2479704395156725,0.0003423872848983487
8.0,0.24793280917183305,0.00034299991672392054
10.0,0.24789624640609426,0.0003432847915754545
12.0,0.24785690542086275,0.00034339175270679345
14.0,0.2478136817881179,0.0003433899124385487
16.0,0.24776658070666957,0.00034331598206357365
18.0,0.247716013932994,0.00034319152375864145
20.0,0.24766248085416,0.0003430301070490991
22.0,0.24760642748230152,0.00034284057230968875
24.0,0.24754819501256925,0.0003426288777930233
26.0,0.2474880159442319,0.0003423991582977553
28.0,0.24742520340209365,0.00034214926569683967
30.0,0.2473561499036903,0.0003418264912210007
32.0,0.24728417150734514,0.0003414826597844216
34.0,0.24720982538048886,0.0003411350294455724
36.0,0.2471353942440349,0.00034079555818343206
38.0,0.2470577817627898,0.00034043527508196934
40.0,0.24698006648919155,0.0003400906301677981
42.0,0.24689992565430813,0.00033974552018463833
44.0,0.24681812662494568,0.00033940534689838305
46.0,0.24673816840382598,0.00033907548424320433
48.0,0.2466559933025427,0.00033875904825443295
50.0,0.24657322877778276,0.00033845119089522663
52.0,0.24648919153753268,0.0003381452131267804
54.0,0.24640403057435775,0.0003378528947165437
56.0,0.24631948098492196,0.0003375569913789877
58.0,0.24623422757637967,0.0003372715027921109
60.0,0.246147209598742,0.0003370003162409956
62.0,0.24605953589790477,0.0003367367170373894
64.0,0.2459711740182166,0.0003364805049882835
66.0,0.24588209475572534,0.00033623150366255317
68.0,0.2457919853676039,0.00033597691445677407
70.0,0.2457012286451831,0.00033574129627481476
72.0,0.2456097077390229,0.0003355126796575922
74.0,0.2455174052830979,0.000335290925350457
76.0,0.24542416201225745,0.00033507166405352207
78.0,0.24532991295546067,0.0003348632412715452
80.0,0.2452349064713969,0.0003346613639085247
82.0,0.24513921452965126,0.0003344621518045501
84.0,0.24504267020051387,0.0003342695647040438
86.0,0.24494526512682582,0.0003340867055783042
88.0,0.24484707389316523,0.00033391006651681135
90.0,0.2447479735793609,0.00033373687562147724
92.0,0.24464805841971143,0.00033357244593342254
94.0,0.24454729783449425,0.0003334118329658331
96.0,0.2444456809597786,0.0003332572672119548
98.0,0.2443433674083814,0.0003331084646207749
100.0,0.2442403519590845,0.0003329674999258688
102.0,0.24413661109811557,0.00033283218955139815
104.0,0.24403215173013065,0.0003327024520059129
106.0,0.24392698238860883,0.0003325782075057712
108.0,0.24382111306829693,0.00033245937764471
110.0,0.24371455507881878,0.00033234588644451453
112.0,0.24360732090094472,0.00033223765942277266
114.0,0.2434994567961672,0.00033213352053914193
116.0,0.24339093877340176,0.00033203563550716095
118.0,0.24328178213389068,0.00033194280212395564
120.0,0.24317200365465338,0.00033185494935376744
122.0,0.24306162061728057,0.0003317720065776995
124.0,0.24295065073424238,0.00033169390474869554
126.0,0.24283911208346093,0.0003316205750154127
128.0,0.2427270377078215,0.00033155132235639865
130.0,0.2426144291725596,0.00033148736135038266
132.0,0.24250130506834247,0.00033142797241815134
134.0,0.2423876847307362,0.0003313730890946111
136.0,0.24227359246981506,0.0003313221910541757
138.0,0.24215904626740847,0.00033127614444176235
140.0,0.2420440602470688,0.00033123440859916505
142.0,0.24192865400815147,0.00033119691946095775
144.0,0.24181284704522618,0.0003311636133820742
146.0,0.24169665873703533,0.000331134427554506
148.0,0.24158010832330531,0.0003311092994809932
150.0,0.24146321488941333,0.0003310881674172537
