freq (GHz),abs(Gamma),uabs(Gamma) (var)
2.0,0.24811148423061186,1.3656923297128256e-06
4.0,0.2480195794157675,1.610658503312091e-06
6.0,0.2479704395156725,1.7337880755369196e-06
8.0,0.24793280917183305,1.811877570801504e-06
10.0,0.24789624640609426,1.8671800437603266e-06
12.0,0.24785690542086275,1.9090135086817795e-06
14.0,0.2478136817881179,1.9420908049786844e-06
16.0,0.24776658070666957,1.969096117604922e-06
18.0,0.247716013932994,1.99168459014081e-06
20.0,0.24766248085416,2.0109397024376207e-06
22.0,0.24760642748230152,2.027604468187687e-06
24.0,0.24754819501256925,2.042208686903378e-06
26.0,0.2474880159442319,2.05514234373869e-06
28.0,0.24742520340209365,2.0665606803494963e-06
30.0,0.2473561499036903,2.076400715472714e-06
32.0,0.24728417150734514,2.0860002392739497e-06
34.0,0.24720982538048886,2.0948801099559044e-06
36.0,0.2471353942440349,2.1032711948299637e-06
38.0,0.2470577817627898,2.1106683585206946e-06
40.0,0.24698006648919155,2.11794129785824e-06
42.0,0.24689992565430813,2.12463332081805e-06
44.0,0.24681812662494568,2.130749954792509e-06
46.0,0.24673816840382598,2.136571291203676e-06
48.0,0.2466559933025427,2.142026761196341e-06
50.0,0.24657322877778276,2.147111109966664e-06
52.0,0.24648919153753268,2.1518445469086943e-06
54.0,0.24640403057435775,2.156292412362227e-06
56.0,0.24631948098492196,2.1603614043545196e-06
58.0,0.24623422757637967,2.164257202285432e-06
60.0,0.246147209598742,2.167931479878549e-06
62.0,0.24605953589790477,2.171372510278199e-06
64.0,0.2459711740182166,2.1745956261652594e-06
66.0,0.24588209475572534,2.1776145135108385e-06
68.0,0.2457919853676039,2.1803898271738094e-06
70.0,0.2457012286451831,2.183052294573202e-06
72.0,0.2456097077390229,2.185541630564286e-06
74.0,0.2455174052830979,2.187866942501401e-06
76.0,0.24542416201225745,2.190036335722831e-06
78.0,0.24532991295546067,2.1920623814195324e-06
80.0,0.2452349064713969,2.1939463274870307e-06
82.0,0.24513921452965126,2.1956670087756532e-06
84.0,0.24504267020051387,2.1972917936361407e-06
86.0,0.24494526512682582,2.1987920426356556e-06
88.0,0.24484707389316523,2.200171572093483e-06
90.0,0.2447479735793609,2.2014375324905206e-06
92.0,0.24464805841971143,2.202591207691736e-06
94.0,0.24454729783449425,2.2036389568889384e-06
96.0,0.2444456809597786,2.2045836944263455e-06
98.0,0.2443433674083814,2.205412856274647e-06
100.0,0.2442403519590845,2.2061589052835117e-06
102.0,0.24413661109811557,2.2068093826749427e-06
104.0,0.24403215173013065,2.207367166246833e-06
106.0,0.24392698238860883,2.2078349522538117e-06
108.0,0.24382111306829693,2.208215279951835e-06
110.0,0.24371455507881878,2.208510529794892e-06
112.0,0.24360732090094472,2.2087229583075066e-06
114.0,0.2434994567961672,2.2088483405838454e-06
116.0,0.24339093877340176,2.208902301398612e-06
118.0,0.24328178213389068,2.2088793806049623e-06
120.0,0.24317200365465338,2.208781397402338e-06
122.0,0.24306162061728057,2.208610088050753e-06
124.0,0.24295065073424238,2.2083671019570218e-06
126.0,0.24283911208346093,2.2080540166667163e-06
128.0,0.2427270377078215,2.2076688679648263e-06
130.0,0.2426144291725596,2.2072205131486407e-06
132.0,0.24250130506834247,2.2067063194775556e-06
134.0,0.2423876847307362,2.2061276125870495e-06
136.0,0.24227359246981506,2.2054831030829894e-06
138.0,0.24215904626740847,2.2047794903067458e-06
140.0,0.2420440602470688,2.204015000665395e-06
142.0,0.24192865400815147,2.203190766661787e-06
144.0,0.24181284704522618,2.2023078878413443e-06
146.0,0.24169665873703533,2.201367419602826e-06
148.0,0.24158010832330531,2.2003703856088957e-06
150.0,0.24146321488941333,2.199317770135328e-06
