Freq (GHz),Gamma real,Gamma imag,Gamma var11,Gamma var22,Gamma var12
1.0,-0.24662262081133784,3.319456573652291e-05,0.001646373852312333,2.925529269788307e-07,9.902781264419716e-06
2.0,-0.246642502460445,-0.00011576926025731803,0.0016534922042281445,1.86136358960587e-07,7.729509023772455e-06
3.0,-0.24669327566711818,-0.00019960625421819113,0.0016568889452800238,1.5155045319331574e-07,6.751823049831533e-06
4.0,-0.24673987825933014,-0.00025575961044007803,0.0016590730768781864,1.346005445011326e-07,6.202455180703948e-06
5.0,-0.24678113793976353,-0.0002979941500019549,0.001660643510178046,1.2441147176034294e-07,5.8770418213244846e-06
6.0,-0.2468173646650607,-0.00033130639467789075,0.0016618354094372137,1.1759725415975557e-07,5.705079692826052e-06
7.0,-0.2468487234889739,-0.0003582263530147398,0.0016627700735077468,1.1277629002231484e-07,5.654937089065242e-06
8.0,-0.2468753301764102,-0.00038032871779348365,0.0016635215377965396,1.0927864813881042e-07,5.7065552966341864e-06
9.0,-0.24689732973797088,-0.0003986989363492562,0.0016641387743172413,1.0674183460366806e-07,5.842708851877294e-06
10.0,-0.24691491889438033,-0.000414112847371269,0.001664654612363665,1.0495386304099194e-07,6.046775461914272e-06
11.0,-0.2469283398418576,-0.000427126892935636,0.0016650912943932548,1.0378111302885053e-07,6.302765544676847e-06
12.0,-0.24693786416287644,-0.0004381374041638043,0.0016654641277986581,1.0312952126415654e-07,6.595825099454006e-06
13.0,-0.24694377749695598,-0.0004474254455969286,0.0016657842333824967,1.0292345446201906e-07,6.9126723963481485e-06
14.0,-0.24694636779098586,-0.00045519171935725207,0.0016660603417298547,1.0309433759669857e-07,7.241827510530365e-06
15.0,-0.24694591711551162,-0.00046158315917995633,0.001666299955822159,1.0357564576728977e-07,7.5736716076354365e-06
16.0,-0.2469426960328935,-0.0004667124579985076,0.0016665099301959626,1.0430150003388327e-07,7.900381790213226e-06
17.0,-0.2469369599610684,-0.0004706717245076344,0.0016666967747339895,1.052073449080864e-07,8.215794347395319e-06
18.0,-0.2469289468570051,-0.0004735416931270745,0.0016668666607701746,1.0623133885863677e-07,8.515221311515077e-06
19.0,-0.2469188755432617,-0.00047539752910167487,0.0016670254204767985,1.0731604959191799e-07,8.79525691000163e-06
20.0,-0.24690694522410267,-0.00047631214521185085,0.001667178427739919,1.0840977958240115e-07,9.053576316366333e-06
21.0,-0.24689333529963264,-0.0004763578838031127,0.0016673305075165551,1.0946747092665863e-07,9.28874642891674e-06
22.0,-0.24687820583173747,-0.0004756070346367927,0.0016674858657092825,1.1045115637394269e-07,9.500050931838093e-06
23.0,-0.24686169837099534,-0.0004741317166132244,0.0016676480333602383,1.1132996124810713e-07,9.687335159312354e-06
24.0,-0.24684393699496215,-0.0004720033587806044,0.0016678198620410124,1.1207978271274098e-07,9.850872048661312e-06
25.0,-0.2468250296338198,-0.000469292026885065,0.0016680035144963194,1.1268274171001469e-07,9.991248781034928e-06
26.0,-0.2468050694345623,-0.00046606573835273636,0.0016682005201600653,1.1312651167066513e-07,1.0109275219913367e-05
27.0,-0.24678413635827343,-0.00046238981711768656,0.0016684118001412704,1.1340355052744429e-07,1.0205907907408337e-05
28.0,-0.2467622985344153,-0.0004583263692467044,0.0016686377416456975,1.1351039945707185e-07,1.028219403330669e-05
29.0,-0.24673961369643047,-0.00045393388615233267,0.0016688782579321235,1.1344695781424893e-07,1.0339225812569961e-05
30.0,-0.24671613063469797,-0.0004492669451278314,0.0016691328512738058,1.1321587242533222e-07,1.0378108590771962e-05
31.0,-0.24669189036392603,-0.0004443760720484148,0.0016694006901073694,1.1282196502043673e-07,1.0399937647257546e-05
32.0,-0.24666692729983924,-0.00043930766288201686,0.001669680665688357,1.1227177104754371e-07,1.0405782491283733e-05
33.0,-0.24664127034675473,-0.0004341040158112888,0.0016699714560258132,1.1157312794244136e-07,1.0396676922766574e-05
34.0,-0.24661494378334564,-0.00042880342614486674,0.001670271586619363,1.1073484951437048e-07,1.0373613643059574e-05
35.0,-0.2465879680818633,-0.00042344032585024547,0.0016705794705478667,1.0976643099958438e-07,1.0337540946765883e-05
36.0,-0.24656036063866302,-0.00041804547366702355,0.001670893461347105,1.0867783822532942e-07,1.028936306392182e-05
37.0,-0.24653213634639007,-0.00041264615848350813,0.001671211886848781,1.0747931439455519e-07,1.0229940632749422e-05
38.0,-0.24650330818062974,-0.0004072664301159474,0.0016715330836563817,1.0618122757882013e-07,1.0160092972274662e-05
39.0,-0.2464738875815278,-0.00040192732923265443,0.001671855426532396,1.0479394477137018e-07,1.0080600024667532e-05
40.0,-0.24644388484648042,-0.0003966471200651988,0.0016721773465328106,1.0332772628873825e-07,9.992204866779889e-06
41.0,-0.2464133094135212,-0.000391441525062033,0.0016724973537090907,1.0179264111623576e-07,9.89561612812835e-06
42.0,-0.24638220805318356,-0.0004137832639119472,0.0016732019629363112,1.0225284566775825e-07,9.935862969082982e-06
43.0,-0.24634811614907678,-0.00042322029438612976,0.0016746187822265985,1.0595880516066842e-07,1.0260702884867551e-05
44.0,-0.2463132016138874,-0.0004140675689502829,0.0016752201239937654,1.0675650629159227e-07,1.036143373584489e-05
45.0,-0.24627882174675997,-0.000422249474330014,0.0016754921644388007,1.0577155364888462e-07,1.0295506689038866e-05
46.0,-0.24624299184340195,-0.0004408587836844582,0.0016759649149567077,1.0571039054343373e-07,1.028598258736856e-05
47.0,-0.2462063671161501,-0.0004104888337604406,0.001676468127921795,1.0578105961772361e-07,1.0353033423555137e-05
48.0,-0.2461710750365045,-0.00042203168076504954,0.0016769653790864737,1.0577844752561035e-07,1.0357989693732894e-05
49.0,-0.24613435012406276,-0.000433590054196022,0.0016771063401672327,1.048201446848051e-07,1.0284057550036792e-05
50.0,-0.2460967644731012,-0.0004263762806086627,0.0016770841515465586,1.0230198172234474e-07,1.0104123081926993e-05
51.0,-0.24605921342444148,-0.0004010648096465972,0.0016772681919710241,1.0162087394639222e-07,1.0101171778615072e-05
52.0,-0.2460217150066852,-0.0003953944674827241,0.001677229904279792,9.905781213982744e-08,9.910592426575868e-06
53.0,-0.24598347625525438,-0.0004069701303372768,0.0016773232710523916,9.794894478607799e-08,9.820505384353982e-06
54.0,-0.2459448367549316,-0.0004008599984590749,0.001677280359387961,9.541569874262482e-08,9.625782316081006e-06
55.0,-0.24590557435240057,-0.00041161248435282987,0.0016773581995929256,9.432438003336449e-08,9.531515008323567e-06
56.0,-0.2458659325517635,-0.0004051564631883357,0.0016773106613864718,9.18396347162253e-08,9.334096629796367e-06
57.0,-0.24582605471309107,-0.00038219178968540316,0.0016774221079824427,9.09733875936086e-08,9.306819664227693e-06
58.0,-0.2457863098415769,-0.00037712017182889513,0.0016773628171473014,8.852195297634022e-08,9.103946160742886e-06
59.0,-0.24574609893220073,-0.0003881638428722437,0.0016774102642553449,8.741599449311423e-08,9.003279703406027e-06
60.0,-0.2457054079504799,-0.00038272632072645045,0.001677347407773259,8.504921377094276e-08,8.800496280958478e-06
61.0,-0.24566438091769768,-0.00039205980796454276,0.0016773785052595779,8.392644779477422e-08,8.693490800688105e-06
62.0,-0.24562285065218165,-0.00038636896668922454,0.0016773126035389146,8.165689758945724e-08,8.491965297490136e-06
63.0,-0.24558105409783051,-0.00038089293943917594,0.0016772486387921753,7.946937992445177e-08,8.292609068702404e-06
64.0,-0.2455389916905912,-0.00037562569872623695,0.0016771863628026852,7.736378118962805e-08,8.095619686264914e-06
65.0,-0.24549666393053082,-0.00037056118473854596,0.0016771255420752163,7.533962179137828e-08,7.90117545730012e-06
66.0,-0.2454541394338808,-0.00036477125878483976,0.0016772355891487133,7.533342664790592e-08,7.931872121913878e-06
67.0,-0.2454112464005026,-0.0003635256511654117,0.001677225982213948,7.360672061904029e-08,7.757262313899428e-06
68.0,-0.2453679494158584,-0.00035902770692725945,0.0016771462854432314,7.16962460580209e-08,7.563806398460542e-06
69.0,-0.24532441490538404,-0.0003674048595946076,0.0016771383774108024,7.079088626059761e-08,7.4628085369409625e-06
70.0,-0.2452804546783107,-0.00036270812976533503,0.001677056878223425,6.899121558669963e-08,7.27363215227308e-06
71.0,-0.2452363048287689,-0.0003595879477496725,0.0016770506747006873,6.752584786731945e-08,7.1136222043777695e-06
72.0,-0.24519194120770224,-0.0003544077690600587,0.001676990852554537,6.594213333957916e-08,6.939953766971711e-06
73.0,-0.24514730477740318,-0.00035781712402109756,0.001676940314835958,6.487996106326555e-08,6.816667772137088e-06
74.0,-0.24510237544845748,-0.00035350032688337136,0.0016768497130851335,6.334539615267094e-08,6.639762237066963e-06
75.0,-0.2450572122429529,-0.00034935813202713095,0.00167676116229593,6.188438543088233e-08,6.466578123823606e-06
76.0,-0.24501181490734844,-0.00034538455800853354,0.0016766744252789652,6.049429779195502e-08,6.297140964233618e-06
77.0,-0.24496620407418204,-0.0003461029314017068,0.0016766627908973224,6.00317588543427e-08,6.252730218688385e-06
78.0,-0.24492033546325936,-0.00034320661961263917,0.001676626041306865,5.933546767888659e-08,6.180172272916541e-06
79.0,-0.24487420767568538,-0.0003395549538539728,0.0016765324010093344,5.804872916237341e-08,6.015110237845281e-06
80.0,-0.24482784682197614,-0.00033605202802501914,0.0016764403413957257,5.68277131334658e-08,5.854017122158682e-06
