"Freq [GHz]","im(Zo(1)) []","im(Zo(2)) []"
1,-1.17167741039225,-0.705730309563211
2,-0.930641089590898,-0.570545152456271
3,-0.822450117393993,-0.510956125714059
4,-0.755862069859391,-0.474563315617083
5,-0.707698496029487,-0.448335405017274
6,-0.669455218000573,-0.42748500038464
7,-0.637292356387131,-0.409869107375357
8,-0.60926921948369,-0.394424997703218
9,-0.58432438269965,-0.380586758748764
10,-0.561832344248098,-0.368030098050318
11,-0.54139388209299,-0.356552071652185
12,-0.522732298188599,-0.346012599259214
13,-0.505640511115827,-0.336305664555387
14,-0.489953407949082,-0.327345061409871
15,-0.475533020534553,-0.319057294847284
16,-0.4622603460529,-0.311377996114935
17,-0.450030656085843,-0.304250032842787
18,-0.438750658716981,-0.297622428017999
19,-0.428336660005194,-0.291449646224785
20,-0.418713284464756,-0.285691045146121
21,-0.40981249315037,-0.28031039441047
22,-0.401572792206303,-0.27527542955929
23,-0.393938545606336,-0.270557425671792
24,-0.386859370150572,-0.266130793657486
25,-0.380289587874234,-0.261972701049493
26,-0.374187728111724,-0.258062722472763
27,-0.368516078114886,-0.254382522465185
28,-0.36324027544011,-0.250915572250635
29,-0.358328941678447,-0.247646900436401
30,-0.353753359835763,-0.244562876909803
31,-0.34948718349826,-0.241651027312973
32,-0.345506186044211,-0.238899875801402
33,-0.341788039408423,-0.236298813325425
34,-0.33831212172615,-0.233837987768683
35,-0.33505935201067,-0.231508213508617
36,-0.332012045957929,-0.229300897236978
37,-0.32915379254858,-0.227207977306582
38,-0.326469346566623,-0.225221874548889
39,-0.323944535910601,-0.223335452036364
40,-0.321566181029774,-0.221541982336487
41,-0.319322023561612,-0.219835120485656
42,-0.31409544679834,-0.218208881539515
43,-0.307867007301878,-0.215094773187132
44,-0.304792235702902,-0.21261674491108
45,-0.301819876492911,-0.211384987664344
46,-0.297746421053377,-0.210199731955804
47,-0.296727513017841,-0.20751642601796
48,-0.293260987815913,-0.206214717850043
49,-0.290386215845559,-0.20527204307196
50,-0.289670038344219,-0.204353969620425
51,-0.288963977708428,-0.202207367952812
52,-0.28826523271705,-0.201405880347829
53,-0.28564661895869,-0.200619347084759
54,-0.285043747167371,-0.199846388470966
55,-0.282560971256726,-0.199085729750318
56,-0.282034972192781,-0.198336196162842
57,-0.281498881841294,-0.19645575255275
58,-0.280951654965994,-0.195788369130901
59,-0.278598376586915,-0.195125716047683
60,-0.278106248535088,-0.19446714583418
