"Freq [GHz]","im(partialZo(1,$er)) []","im(partialZo(2,$er)) []"
2,0.0947124507162675,0.0577521402564945
4,0.065568400932863,0.0397133544604841
6,0.0507372305224295,0.0307512964498774
8,0.0396322204089095,0.0241801577277823
10,0.0300037388116814,0.0185669200078817
12,0.021351319917574,0.0136137721357119
14,0.013635983520682,0.00930132192112715
16,0.0069134487490816,0.00564537766118485
18,0.00122482949550234,0.00263650969140432
20,-0.00343034659970855,0.000235509696039088
22,-0.0070924349978224,-0.00161627179054715
24,-0.00983090977104865,-0.00298559150577748
26,-0.011732714728512,-0.00393917906722195
28,-0.0140638542849128,-0.00453921723895115
30,-0.0169704132638925,-0.0059572924996785
32,-0.0189400594364645,-0.006749560209614
34,-0.0199998061091355,-0.0073100635682292
36,-0.0188719498217599,-0.00674820129600385
38,-0.0199893999007505,-0.00704766813548155
40,-0.0182905800784753,-0.00624402316517075
42,-0.0190761760544584,-0.0053921344726426
44,-0.0169755958438274,-0.00585118933018735
46,-0.0166165688904325,-0.00486230847434958
48,-0.0143440356015181,-0.003882893359094
50,-0.0120876804215288,-0.00292537585351588
52,-0.0117984343505939,-0.00199982336198427
54,-0.0095569853224443,-0.0011141993049841
56,-0.0074058325819827,-0.001425751506509
58,-0.00771786458435,-0.000554139768385135
60,-0.00566375378281195,0.000258609371018743
62,-0.00373538048597836,0.00101104468435427
64,-0.00193640458275098,0.00170282456071825
66,-0.000268003028758559,0.00233453256994501
68,-0.00087276522513,0.00212752473575278
70,0.000651369651589595,0.00269713652927711
72,0.00204741139956628,0.00320899411675295
74,0.00332028512325867,0.00366604626694861
76,0.00292271411511903,0.00407147301061536
78,0.00405018178805192,0.00442859456240938
80,0.0050693161413844,0.00474079488389392
82,0.0059868779672505,0.00447001913416111
84,0.00551017619173005,0.00473981475555863
86,0.00631712545921455,0.00497235515528281
88,0.0070394596707396,0.0051708837512935
90,0.00660200763846345,0.0053384935721445
92,0.007235970849905,0.00547811154869115
94,0.00690526535116375,0.0055924885821114
96,0.00660131731352835,0.0056841943858751
98,0.00714537146346245,0.00541546561396205
100,0.00763185960920725,0.0054932490368885
102,0.00806563421496245,0.00555341331229375
104,0.0084512268911839,0.00559790271960835
106,0.0087928558041468,0.00562849564360745
108,0.00909443579042115,0.00564681304794065
110,0.00935959046576985,0.0056543275523746
112,0.00959166564882625,0.005652372844747
114,0.00979374378910155,0.0054401897678357
116,0.0099686588223256,0.0054379984043195
118,0.0101190112580823,0.005428553159878
120,0.0102471831678963,0.0054127881385355
122,0.0103553529515165,0.00539154154058455
124,0.0104455096714592,0.00536556383145655
126,0.0105194668812541,0.0053355254522412
128,0.0105788758490831,0.00517309603219925
130,0.0106252381398328,0.00514672689751135
132,0.0106599174983779,0.00511716755038025
134,0.0106841510555905,0.00508488332116765
136,0.0106990598140056,0.00494896722299946
138,0.0107056584539839,0.00492048489168989
140,0.0107048644445181,0.00488978599873433
142,0.0106975065291886,0.00485720033323529
144,0.010684332542791,0.00482302178386994
146,0.0106660166764625,0.00478751189842073
148,0.0106431661256776,0.00475090312585107
150,0.0106163272399082,0.00471340176537647
