"Freq [GHz]","im(partialZo(1,trace_thickness)) []","im(partialZo(2,trace_thickness)) []"
2,-4.1260206425373,-1.02085567774144
4,-3.20184673481314,-0.826910277514865
6,-2.7273430041334,-0.72413589985709
8,-2.41932272915248,-0.655966124777035
10,-2.19712048773621,-0.605768242005435
12,-2.02638473012181,-0.566486328968075
14,-1.88959099152457,-0.534545809149485
16,-1.77668439460029,-0.507885929046405
18,-1.68139687283746,-0.485203943292747
20,-1.59957836484719,-0.465621104907471
22,-1.52835061729783,-0.448516655180117
24,-1.46564418650131,-0.433436988073368
26,-1.40992639052048,-0.420041499666619
28,-1.35964991509362,-0.408068338854098
30,-1.31387802785964,-0.398400448475895
32,-1.2725822595876,-0.388881963411134
34,-1.23508485953659,-0.380158883156203
36,-1.20122385456904,-0.372154641600725
38,-1.16951209833902,-0.365203120135348
40,-1.14091309003125,-0.358472304550351
42,-1.11383947488567,-0.352275745317667
44,-1.08936821161399,-0.346490460811906
46,-1.06616770365088,-0.34119232723493
48,-1.04496376138809,-0.336259643639333
50,-1.02513175216873,-0.331649179483819
52,-1.00604025565228,-0.327322899740674
54,-0.988567523488985,-0.323247387046518
56,-0.972094085017015,-0.319278002147103
58,-0.955901056688115,-0.31562991323828
60,-0.941178163775775,-0.312154375031968
62,-0.927201075441555,-0.308832098946251
64,-0.91390441854795,-0.305646396989273
66,-0.90123047390275,-0.302582867331328
68,-0.888527328219505,-0.299508161610483
70,-0.876978526039845,-0.296661055816209
72,-0.86591559638754,-0.29390341871175
74,-0.855302841641635,-0.291227444469932
76,-0.844652259176325,-0.288626435237607
78,-0.83486929691012,-0.286094638626205
80,-0.825450446527825,-0.283627105125434
82,-0.81637287009733,-0.281111484567568
84,-0.807219159080255,-0.278766857920918
86,-0.798784289498435,-0.276474965726197
88,-0.79063418059183,-0.274233000931495
90,-0.782414585857565,-0.272038488680905
92,-0.77480712410757,-0.269889231523854
94,-0.76715676880366,-0.267783263196244
96,-0.759762240357795,-0.265718808027781
98,-0.752876537126295,-0.263614748113339
100,-0.74619917384071,-0.261633927996552
102,-0.7397208484285,-0.259689856150304
104,-0.733432919065465,-0.257781262879494
106,-0.72732732076563,-0.255906956617372
108,-0.7213965232021,-0.25406581270983
110,-0.71563345253664,-0.252256763535112
112,-0.710031475880655,-0.250478790907099
114,-0.704584339733755,-0.248679522179212
116,-0.699286143331535,-0.246964569743161
118,-0.69413130909978,-0.245277643390606
120,-0.68911454751485,-0.243617885057127
122,-0.68423084672179,-0.241984465507646
124,-0.679475438454895,-0.240376582967934
126,-0.674843788504665,-0.238793461224747
128,-0.67033157467755,-0.237200157829657
130,-0.665934675620385,-0.235666969201246
132,-0.66164915564971,-0.234156170482737
134,-0.6574712514333,-0.232667088613921
136,-0.653397366353765,-0.231171803757216
138,-0.649424051576515,-0.229726385978473
140,-0.64554801273127,-0.228300630551101
142,-0.64176607942004,-0.226893954631865
144,-0.638075221827715,-0.225505793972482
146,-0.63447252173626,-0.224135602328185
148,-0.630955185144895,-0.22278285098444
150,-0.627520522076609,-0.221447028583596
