"Freq [GHz]","re(Zo(1)) []","re(Zo(2)) []"
2,53.689782753184,32.3440699641523
4,53.446585734971,32.2037598396782
6,53.3263002821325,32.1346032858956
8,53.2456632745715,32.0885600372964
10,53.1841330121885,32.0539617362362
12,53.1336256415615,32.0261969234769
14,53.090173946855,32.0029485047779
16,53.051579802791,31.9828903512987
18,53.016514355094,31.9651928452455
20,52.984109405236,31.9492982612386
22,52.953757030223,31.9348095320543
24,52.925007435343,31.9214321292249
26,52.897515430533,31.9089420240141
28,52.8709225356575,31.897166840653
30,52.8427334051545,31.8848477467412
32,52.8142216876735,31.8725298700907
34,52.786359269179,31.8607611424518
36,52.7591994446385,31.8494188397716
38,52.7323959076475,31.8384998474656
40,52.706161528144,31.8279297406957
42,52.680663472528,31.8179592410048
44,52.6558522488815,31.8085196841777
46,52.6318199924945,31.7994147187426
48,52.608320480923,31.7907808887077
50,52.5854749342265,31.7825778616511
52,52.563155448926,31.7747715335086
54,52.541320096815,31.7673331499856
56,52.520003007429,31.7601651526656
58,52.4991598298275,31.7533209593038
60,52.4786486272945,31.7467969797133
62,52.458573041461,31.7405770028025
64,52.438906411968,31.7346472049901
66,52.419625760777,31.7289957614927
68,52.4006617414925,31.7236003617564
70,52.3820263632005,31.718445695851
72,52.3637371153175,31.7135486977247
74,52.3457796625715,31.7089019517484
76,52.3281284758775,31.7044989133849
78,52.3107600241295,31.7003337670884
80,52.2936966578555,31.6964013055898
82,52.2769290157305,31.6926918994949
84,52.260431235664,31.6891980869346
86,52.244206953533,31.6859265840148
88,52.22826033047,31.6828734141577
90,52.2125732406715,31.6800348822607
92,52.1971466600315,31.6774075296911
94,52.181974948831,31.6749880963718
96,52.1670500953705,31.6727734891248
98,52.1523770769235,31.6707570932594
100,52.137957175437,31.6689385253333
102,52.1237860514795,31.6673172380851
104,52.1098597341205,31.6658904402792
106,52.0961745781365,31.6646554283749
108,52.082727224562,31.6636095740338
110,52.0695145674085,31.6627503139144
112,52.056533723266,31.6620751410075
114,52.0437820046235,31.6615795776004
116,52.031256897556,31.6612634095837
118,52.01895603973,31.6611244616583
120,52.0068772033445,31.6611603362322
122,51.995018278781,31.6613686738214
124,51.983377260419,31.6617471493963
126,51.9719522348645,31.662293469628
128,51.960741368986,31.663004481277
130,51.949742901594,31.6638788887915
132,51.9389551337295,31.6649146045661
134,51.9283764226675,31.6661094157852
136,51.9180051741885,31.6674608741095
138,51.907839837208,31.6689667672611
140,51.897878899063,31.6706253900181
142,51.8881208808795,31.6724346115405
144,51.8785643333155,31.6743923259337
146,51.8692078338815,31.6764964513132
148,51.8600499831925,31.6787449290329
150,51.8510894025478,31.6811357231944
